"Story","Title","Result","Date","Stability","Duration (s)"
"Gestion de ordenes","Crear orden","SUCCESS","2024-08-28T12:02:23.4944346-05:00[America/Bogota]","0.0","6.17"
"Gestion de ordenes","Consultar orden","SUCCESS","2024-08-28T12:02:29.6674989-05:00[America/Bogota]","0.0","2.92"
